Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2017-01-01 00:00:00,Cobar,13.00769252,17.67373296,7.313614965,13.98832318,14.42326098,S,93.60305313,NW,S,15.94236897,27.71887175,31.50559693,81.08205378,990.0749098,1007.014211,6.478472806,3.55368307,4.842980163,25.9653401,Yes,No
2017-01-02 00:00:00,CoffsHarbour,19.30795979,37.65811261,4.50762536,1.779656486,6.672786492,SE,41.65468834,SW,NE,6.806105646,0.201020135,52.36724,43.70780828,1004.025971,1029.821971,7.50428378,2.293358613,29.75294075,24.9900948,Yes,No
2017-01-03 00:00:00,Albury,13.00408753,18.83140451,3.916661683,14.00624135,7.335726007,SW,49.63931496,E,NW,10.18882002,17.11293827,48.53723712,12.38805653,999.6585691,993.8901686,3.555364821,1.411503299,33.19273059,10.31414949,Yes,No
2017-01-04 00:00:00,Cobar,21.30453751,39.78202891,2.816058978,10.25799678,5.274748085,S,65.51371247,S,S,10.52984699,7.899451266,35.39058263,56.44418417,992.492709,1024.225107,5.077961793,6.233196415,12.64373931,19.27857139,No,No
2017-01-05 00:00:00,Cobar,13.79767097,38.46084263,12.44827283,7.97358229,13.6432271,NE,90.53671757,SW,SE,22.24945576,36.43191644,89.14550646,95.23013846,997.1811317,1009.199323,2.049179633,0.838699074,18.15262013,21.95952889,No,Yes
2017-01-06 00:00:00,CoffsHarbour,14.02344929,36.26234093,15.62643711,0.489885912,8.534332249,W,95.35244698,W,NE,16.45643727,6.983359387,16.58779247,79.29936514,994.9799559,1023.086008,5.599778817,8.440130581,27.26833395,16.83961338,No,No
2017-01-07 00:00:00,Albury,21.91634007,16.08481142,11.56596799,7.133942877,11.43261881,E,79.16505985,S,E,37.90931216,11.44240207,14.95086395,57.87006477,1026.595135,1022.685091,0.109237125,7.440176733,19.67273481,28.95125473,No,No
2017-01-08 00:00:00,Albury,10.08707166,24.09385068,2.939254192,6.116221575,12.17710078,SW,26.92958087,S,SE,5.054805678,20.67347071,57.69095353,64.68056603,995.6106885,1026.63968,4.397795074,7.71755166,34.77192326,29.15041646,No,Yes
2017-01-09 00:00:00,Cobar,3.350380711,22.8933771,16.2224754,2.41828218,5.127735629,S,73.53233244,SE,N,38.94768539,10.53454476,65.749423,93.0562027,1011.505939,1001.914,5.797849337,8.160019332,15.94996778,29.77101919,Yes,Yes
2017-01-10 00:00:00,BadgerysCreek,0.719566908,25.80409222,12.71909414,9.846144053,6.50541497,SE,52.82429775,N,S,9.225545609,8.394587091,19.46192543,42.83427944,1013.724238,1027.991974,8.263725959,3.677444737,24.98799489,28.11982492,No,No
